previous_agg_trade_id,current_agg_trade_id,missing_id_count,previous_trade_time,current_trade_time,time_delta_ms
1489935691,1489935726,34,2022-09-02T00:00:53.285000+00:00,2022-09-02T00:00:53.305000+00:00,20.0
1489939725,1489939733,7,2022-09-02T00:02:05.930000+00:00,2022-09-02T00:02:05.951000+00:00,21.0
1489940732,1489940736,3,2022-09-02T00:02:31.935000+00:00,2022-09-02T00:02:31.948000+00:00,13.0
1489949735,1489949737,1,2022-09-02T00:05:29.367000+00:00,2022-09-02T00:05:29.370000+00:00,3.0
1489950736,1489950739,2,2022-09-02T00:05:43.309000+00:00,2022-09-02T00:05:43.378000+00:00,69.0
1489951738,1489951740,1,2022-09-02T00:06:04.267000+00:00,2022-09-02T00:06:04.269000+00:00,2.0
1489953739,1489953742,2,2022-09-02T00:06:45.966000+00:00,2022-09-02T00:06:45.973000+00:00,7.0
1489954741,1489954756,14,2022-09-02T00:07:13.481000+00:00,2022-09-02T00:07:13.499000+00:00,18.0
1489955755,1489955760,4,2022-09-02T00:07:41.157000+00:00,2022-09-02T00:07:41.177000+00:00,20.0
1489958759,1489958763,3,2022-09-02T00:09:10.378000+00:00,2022-09-02T00:09:10.412000+00:00,34.0
1489961762,1489961764,1,2022-09-02T00:10:30.719000+00:00,2022-09-02T00:10:30.721000+00:00,2.0
1489965763,1489965767,3,2022-09-02T00:12:03.161000+00:00,2022-09-02T00:12:03.180000+00:00,19.0
1489966766,1489966772,5,2022-09-02T00:12:35.986000+00:00,2022-09-02T00:12:36.012000+00:00,26.0
1489967771,1489967774,2,2022-09-02T00:13:05.026000+00:00,2022-09-02T00:13:05.028000+00:00,2.0
1489968773,1489968776,2,2022-09-02T00:13:32.512000+00:00,2022-09-02T00:13:32.581000+00:00,69.0
1489969775,1489969778,2,2022-09-02T00:14:00.819000+00:00,2022-09-02T00:14:00.829000+00:00,10.0
1489972777,1489972782,4,2022-09-02T00:15:15.520000+00:00,2022-09-02T00:15:15.559000+00:00,39.0
1489974781,1489974788,6,2022-09-02T00:15:42.582000+00:00,2022-09-02T00:15:42.712000+00:00,130.0
