year,month,is_prediction_time_5m,is_model_candidate,history_shortfall,future_shortfall
2017,10,8927,8880,47,0
2017,11,8640,8640,0,0
2017,12,8905,8757,124,37
2018,1,8903,8843,48,12
2018,2,7651,7473,141,37
2018,3,8928,8928,0,0
2018,4,8640,8640,0,0
2018,5,8928,8928,0,0
2018,6,8499,8379,94,26
2018,7,8836,8777,47,12
2018,8,8928,8928,0,0
2018,9,8640,8640,0,0
2018,10,8886,8826,47,13
2018,11,8556,8496,47,13
2018,12,8928,8928,0,0
2019,1,8928,8928,0,0
2019,2,8064,8064,0,0
2019,3,8856,8796,47,13
2019,4,8640,8640,0,0
2019,5,8808,8748,47,13
2019,6,8627,8568,47,12
2019,7,8928,8928,0,0
2019,8,8832,8772,47,13
2019,9,8640,8640,0,0
2019,10,8928,8928,0,0
2019,11,8588,8453,109,39
2019,12,8928,8928,0,0
2020,1,8928,8928,0,0
2020,2,8269,8150,94,25
2020,3,8902,8843,47,12
2020,4,8610,8550,47,13
2020,5,8928,8928,0,0
2020,6,8598,8538,47,13
2020,7,8928,8928,0,0
2020,8,8928,8928,0,0
2020,9,8640,8640,0,0
2020,10,8928,8928,0,0
2020,11,8628,8568,47,13
2020,12,8865,8746,94,25
2021,1,8928,8928,0,0
2021,2,8048,7989,47,12
2021,3,8910,8850,47,13
2021,4,8553,8434,94,25
2021,5,8928,8928,0,0
2021,6,8640,8640,0,0
2021,7,8928,8928,0,0
2021,8,8874,8814,47,13
2021,9,8616,8556,47,13
2021,10,8928,8928,0,0
2021,11,8640,8640,0,0
2021,12,8928,8928,0,0
2022,1,8928,8928,0,0
2022,2,8064,8064,0,0
2022,3,8928,8928,0,0
2022,4,8640,8640,0,0
2022,5,8928,8928,0,0
2022,6,8640,8640,0,0
2022,7,8928,8928,0,0
2022,8,8928,8928,0,0
2022,9,8640,8640,0,0
2022,10,8928,8928,0,0
2022,11,8640,8640,0,0
2022,12,8928,8928,0,0
2023,1,8928,8928,0,0
2023,2,8064,8064,0,0
2023,3,8912,8852,47,13
2023,4,8640,8640,0,0
2023,5,8928,8928,0,0
2023,6,8640,8640,0,0
2023,7,8928,8928,0,0
2023,8,8928,8928,0,0
2023,9,8640,8640,0,0
2023,10,8928,8928,0,0
2023,11,8640,8640,0,0
2023,12,8928,8928,0,0
2024,1,8928,8928,0,0
2024,2,8352,8352,0,0
2024,3,8928,8928,0,0
2024,4,8640,8640,0,0
2024,5,8928,8928,0,0
2024,6,8640,8640,0,0
2024,7,8928,8928,0,0
2024,8,8928,8928,0,0
2024,9,8640,8640,0,0
2024,10,8928,8928,0,0
2024,11,8640,8640,0,0
2024,12,8928,8928,0,0
2025,1,8928,8928,0,0
2025,2,8064,8064,0,0
2025,3,8928,8928,0,0
2025,4,8640,8640,0,0
2025,5,8928,8928,0,0
2025,6,8640,8640,0,0
2025,7,8928,8928,0,0
2025,8,8928,8928,0,0
2025,9,8640,8640,0,0
2025,10,8928,8928,0,0
2025,11,8640,8640,0,0
2025,12,8928,8928,0,0
2026,1,8928,8928,0,0
2026,2,8064,8064,0,0
2026,3,8928,8928,0,0
2026,4,8640,8640,0,0
2026,5,8928,8928,0,0
2026,6,8640,8640,0,0
2026,7,2305,2293,0,12
