extreme_type,feature_open_time,decision_time,entry_minute_open_time,settlement_minute_open_time,continuity_segment_id,entry_price_proxy,settlement_price_proxy,future_simple_return_60m,future_log_return_60m,label_up_60m,absolute_future_return_bps,proxy_margin_bucket,is_final_model_label_candidate,feature_open_time_utc,decision_time_utc,entry_minute_open_time_utc,settlement_minute_open_time_utc
largest_up,1584066240000,1584066300000,1584066300000,1584069900000,22,3936.77,5225.19,0.3272784541642004,0.28313057068785846,1,3272.784541642,"[50, +inf)",True,2020-03-13T02:24:00+00:00,2020-03-13T02:25:00+00:00,2020-03-13T02:25:00+00:00,2020-03-13T03:25:00+00:00
largest_up,1584065640000,1584065700000,1584065700000,1584069300000,22,3888.65,5031.75,0.29395805742352743,0.2577057824340163,1,2939.580574235,"[50, +inf)",True,2020-03-13T02:14:00+00:00,2020-03-13T02:15:00+00:00,2020-03-13T02:15:00+00:00,2020-03-13T03:15:00+00:00
largest_up,1584065940000,1584066000000,1584066000000,1584069600000,22,4055.2,5219.3,0.28706352337739216,0.25236328510952916,1,2870.635233774,"[50, +inf)",True,2020-03-13T02:19:00+00:00,2020-03-13T02:20:00+00:00,2020-03-13T02:20:00+00:00,2020-03-13T03:20:00+00:00
largest_up,1584066540000,1584066600000,1584066600000,1584070200000,22,4231.52,5379.44,0.2712784058683402,0.24002301296350992,1,2712.784058683,"[50, +inf)",True,2020-03-13T02:29:00+00:00,2020-03-13T02:30:00+00:00,2020-03-13T02:30:00+00:00,2020-03-13T03:30:00+00:00
largest_up,1516141740000,1516141800000,1516141800000,1516145400000,4,9100.01,11100.0,0.21977887936386886,0.198669595894989,1,2197.788793639,"[50, +inf)",True,2018-01-16T22:29:00+00:00,2018-01-16T22:30:00+00:00,2018-01-16T22:30:00+00:00,2018-01-16T23:30:00+00:00
largest_up,1584065340000,1584065400000,1584065400000,1584069000000,22,4104.56,4980.62,0.2134357884889,0.19345583047787399,1,2134.357884889,"[50, +inf)",True,2020-03-13T02:09:00+00:00,2020-03-13T02:10:00+00:00,2020-03-13T02:10:00+00:00,2020-03-13T03:10:00+00:00
largest_up,1584066840000,1584066900000,1584066900000,1584070500000,22,4409.5,5342.62,0.21161582945912238,0.19195486500729214,1,2116.158294591,"[50, +inf)",True,2020-03-13T02:34:00+00:00,2020-03-13T02:35:00+00:00,2020-03-13T02:35:00+00:00,2020-03-13T03:35:00+00:00
largest_up,1621429740000,1621429800000,1621429800000,1621433400000,31,30101.0,35335.95,0.17391282681638476,0.16034246551134196,1,1739.128268164,"[50, +inf)",True,2021-05-19T13:09:00+00:00,2021-05-19T13:10:00+00:00,2021-05-19T13:10:00+00:00,2021-05-19T14:10:00+00:00
largest_up,1584064740000,1584064800000,1584064800000,1584068400000,22,4131.23,4848.7,0.17366982714591073,0.16013544432643778,1,1736.698271459,"[50, +inf)",True,2020-03-13T01:59:00+00:00,2020-03-13T02:00:00+00:00,2020-03-13T02:00:00+00:00,2020-03-13T03:00:00+00:00
largest_up,1611909240000,1611909300000,1611909300000,1611912900000,27,32195.49,37758.37,0.17278444900201873,0.159380792343733,1,1727.84449002,"[50, +inf)",True,2021-01-29T08:34:00+00:00,2021-01-29T08:35:00+00:00,2021-01-29T08:35:00+00:00,2021-01-29T09:35:00+00:00
largest_up,1611908940000,1611909000000,1611909000000,1611912600000,27,32018.34,37494.94,0.17104571942205626,0.15789712691239194,1,1710.457194221,"[50, +inf)",True,2021-01-29T08:29:00+00:00,2021-01-29T08:30:00+00:00,2021-01-29T08:30:00+00:00,2021-01-29T09:30:00+00:00
largest_up,1584065040000,1584065100000,1584065100000,1584068700000,22,4230.7,4944.94,0.16882312619661044,0.15599736753222984,1,1688.231261966,"[50, +inf)",True,2020-03-13T02:04:00+00:00,2020-03-13T02:05:00+00:00,2020-03-13T02:05:00+00:00,2020-03-13T03:05:00+00:00
