decision_month_utc,sample_count,up_count,down_or_equal_count,up_ratio,mean_return,median_return,return_std,boundary_risk_5bps_ratio,boundary_risk_10bps_ratio
201710,8927,4754,4173,0.5325417273440125,0.0005619053510123848,0.0004526728272846725,0.008579317960647072,0.07393301221014899,0.13677607258877564
201711,8640,4774,3866,0.5525462962962963,0.0006781201920608386,0.001014164393567718,0.013245637586801251,0.05451388888888889,0.10590277777777778
201712,8868,4795,4073,0.5407081641858367,0.0007036201381368327,0.0014079464602533287,0.021627747222096684,0.02864230942715381,0.05953991880920163
201801,8891,4530,4361,0.5095039928017095,-0.00015052362782263045,0.00031634085982168436,0.019458441541609126,0.03014284107524463,0.061072995163648634
201802,7614,3940,3674,0.5174678224323614,1.7638321664730997e-05,0.0005771892032628845,0.01629171387694873,0.030601523509324928,0.06080903598634095
201803,8928,4448,4480,0.4982078853046595,-0.0004505903451525543,-1.8198783435785515e-06,0.012161883807149693,0.05096326164874552,0.10259856630824372
201804,8640,4606,4034,0.5331018518518519,0.0004068168158389834,0.00041337086784654087,0.008973007490889468,0.08020833333333334,0.1597222222222222
201805,8928,4517,4411,0.5059363799283154,-0.0002366166640707654,7.481011270749072e-05,0.006830646504583712,0.08602150537634409,0.17047491039426524
201806,8473,4073,4400,0.4807034108344152,-0.0002027072849605376,-0.00013333297777873288,0.006914560293948885,0.11979228136433377,0.23698807978283962
201807,8824,4506,4318,0.5106527651858568,0.00027014805935132784,9.207035447611478e-05,0.006285954142207015,0.11684043517679057,0.23753399818676338
201808,8928,4576,4352,0.5125448028673835,-0.0001001404778432009,0.00013128710225218665,0.007021943809995407,0.09251792114695341,0.18649193548387097
201809,8640,4428,4212,0.5125,-6.592418018398957e-05,0.00010265149223298575,0.005265974375107597,0.1267361111111111,0.2568287037037037
201810,8873,4402,4471,0.496111799842218,-4.238151077596037e-05,-6.156526610845425e-06,0.0050878777768657195,0.24411134903640258,0.4384086554716556
201811,8543,4128,4415,0.48320262202973197,-0.0005977425594134318,-9.487419223042082e-05,0.009493205880913003,0.15860938780287956,0.28690155683015334
201812,8928,4514,4414,0.505600358422939,-6.982787009741154e-05,9.548189612029745e-05,0.009501558290033298,0.07000448028673835,0.14269713261648745
201901,8928,4501,4427,0.504144265232975,-8.823796098859807e-05,2.9797941909825987e-05,0.004957600461122279,0.167002688172043,0.31272401433691754
201902,8064,4285,3779,0.5313740079365079,0.0001709751847222031,0.00017322509953954235,0.004763689751555528,0.1817956349206349,0.3474702380952381
201903,8843,4640,4203,0.5247088092276376,8.747916057100156e-05,0.00011597728906953542,0.00274156263142734,0.21406762410946512,0.4056315729955897
201904,8640,4679,3961,0.5415509259259259,0.00038697027691265203,0.0003647408660086837,0.006863237059633139,0.12002314814814814,0.23738425925925927
