decision_year_utc,sample_count,up_count,down_or_equal_count,up_ratio,mean_return,median_return,return_std,boundary_risk_5bps_ratio,boundary_risk_10bps_ratio
2017,26435,14323,12112,0.5418195574049556,0.0006474292004119781,0.0008507127653865076,0.01546290337237112,0.052392661244562135,0.10077548704369207
2018,104210,52668,51542,0.5054025525381441,-0.00010294477296281307,5.048278817454399e-05,0.010304432308325897,0.10104596487861049,0.1960176566548316
2019,104677,53630,51047,0.5123379538962713,0.00010295585100720734,9.611735189296589e-05,0.007194061977968205,0.12881530804283653,0.24951039865490987
2020,105051,54419,50632,0.5180245785380434,0.00018702342797236182,0.00014468965478364737,0.00775574312380818,0.12314970823695158,0.23904579680345736
2021,104845,53164,51681,0.5070723448900758,9.575239676165662e-05,0.00010305147982903051,0.009450974546799289,0.06914969717201583,0.1361915208164433
2022,105120,52491,52629,0.4993436073059361,-9.435699322626758e-05,-5.751933617015315e-06,0.006861731272260705,0.1192351598173516,0.23026065449010655
2023,105091,53290,51801,0.5070843364322349,0.00011780031864943177,3.7227406965989474e-05,0.004461328581365461,0.18652406010029404,0.35030592534089505
2024,105408,53808,51600,0.5104735883424408,0.00010610880863407816,8.112650864644522e-05,0.005610405742787697,0.12250493321190042,0.23924180327868852
2025,105120,53099,52021,0.5051274733637747,3.531782161419476e-06,3.347133483933007e-05,0.004721080325862573,0.14833523592085235,0.28622526636225265
2026,54421,26965,27456,0.4954888737803421,-6.30005762222886e-05,-2.8732076973847498e-05,0.005026851886027174,0.13577479281894858,0.26318884254240094
