decision_year_utc,sample_count,feature_complete_count,feature_complete_ratio,mean_feature_missing_count,final_feature_candidate_count
2017,26472,26351,0.9954291326684799,0.0746449078271381,26252
2018,104323,104107,0.9979295073953012,0.036080250759659906,103786
2019,104767,104597,0.998377351646988,0.028549066022697987,104393
2020,105152,104960,0.9981740718198417,0.031573341448569686,104675
2021,104921,104763,0.9984941050885905,0.0247900801555456,104561
2022,105120,105120,1.0,0.0,105120
2023,105104,105068,0.9996574821129548,0.004909423047648044,105044
2024,105408,105408,1.0,0.0,105408
2025,105120,105120,1.0,0.0,105120
2026,54433,54433,1.0,0.0,54421
