final_split_role,period_utc,sample_count,up_count,down_count,up_ratio,boundary_risk_5bps_ratio,boundary_risk_10bps_ratio
DEVELOPMENT,201710,8855,4723,4132,0.5333709768492377,0.07396950875211744,0.13664596273291926
DEVELOPMENT,201711,8640,4774,3866,0.5525462962962963,0.05451388888888889,0.10590277777777778
DEVELOPMENT,201712,8757,4739,4018,0.5411670663469225,0.028662784058467512,0.059723649651707206
DEVELOPMENT,201801,8843,4514,4329,0.5104602510460251,0.030306457084699763,0.06117833314486034
DEVELOPMENT,201802,7473,3872,3601,0.5181319416566306,0.0307774655426201,0.06115348588251037
DEVELOPMENT,201803,8928,4448,4480,0.4982078853046595,0.05096326164874552,0.10259856630824372
DEVELOPMENT,201804,8640,4606,4034,0.5331018518518519,0.08020833333333334,0.1597222222222222
DEVELOPMENT,201805,8928,4517,4411,0.5059363799283154,0.08602150537634409,0.17047491039426524
DEVELOPMENT,201806,8379,4021,4358,0.47989020169471297,0.11922663802363051,0.23630504833512353
DEVELOPMENT,201807,8777,4476,4301,0.5099692377805628,0.11655463142303749,0.23743876039649084
DEVELOPMENT,201808,8928,4576,4352,0.5125448028673835,0.09251792114695341,0.18649193548387097
DEVELOPMENT,201809,8640,4428,4212,0.5125,0.1267361111111111,0.2568287037037037
DEVELOPMENT,201810,8826,4384,4442,0.49671425334239744,0.24439157036029913,0.43870382959438026
DEVELOPMENT,201811,8496,4114,4382,0.4842278719397363,0.15925141242937854,0.2880178907721281
DEVELOPMENT,201812,8928,4514,4414,0.505600358422939,0.07000448028673835,0.14269713261648745
DEVELOPMENT,201901,8928,4501,4427,0.504144265232975,0.167002688172043,0.31272401433691754
DEVELOPMENT,201902,8064,4285,3779,0.5313740079365079,0.1817956349206349,0.3474702380952381
DEVELOPMENT,201903,8796,4608,4188,0.5238744884038199,0.21430195543428832,0.4064347430650296
DEVELOPMENT,201904,8640,4679,3961,0.5415509259259259,0.12002314814814814,0.23738425925925927
DEVELOPMENT,201905,8748,4776,3972,0.5459533607681756,0.07864654778235025,0.16015089163237312
DEVELOPMENT,201906,8568,4547,4021,0.5306956115779645,0.07026143790849673,0.13982259570494865
DEVELOPMENT,201907,8928,4466,4462,0.5002240143369175,0.06653225806451613,0.13362455197132617
DEVELOPMENT,201908,8772,4310,4462,0.4913360693114455,0.10373917008663931,0.19448244414044688
DEVELOPMENT,201909,8640,4079,4561,0.4721064814814815,0.134375,0.26064814814814813
DEVELOPMENT,201910,8928,4423,4505,0.49540770609318996,0.12836021505376344,0.25100806451612906
DEVELOPMENT,201911,8453,4155,4298,0.49154146456879216,0.13072282030048504,0.26298355613391694
DEVELOPMENT,201912,8928,4633,4295,0.5189292114695341,0.15367383512544802,0.2954749103942652
DEVELOPMENT,202001,8928,4645,4283,0.5202732974910395,0.1226478494623656,0.24540770609318996
DEVELOPMENT,202002,8150,4076,4074,0.5001226993865031,0.11337423312883435,0.2249079754601227
DEVELOPMENT,202003,8843,4429,4414,0.5008481284631913,0.06581476874363903,0.13287345923329186
DEVELOPMENT,202004,8550,4572,3978,0.5347368421052632,0.10467836257309941,0.20163742690058478
DEVELOPMENT,202005,8928,4683,4245,0.5245295698924731,0.09262992831541218,0.18884408602150538
DEVELOPMENT,202006,8538,4214,4324,0.49355821035371283,0.1678379011478098,0.3227922230030452
DEVELOPMENT,202007,8928,4551,4377,0.509744623655914,0.23163082437275986,0.42887544802867383
DEVELOPMENT,202008,8928,4542,4386,0.508736559139785,0.12343189964157707,0.24719982078853048
DEVELOPMENT,202009,8640,4340,4300,0.5023148148148148,0.12743055555555555,0.24178240740740742
DEVELOPMENT,202010,8928,4853,4075,0.5435707885304659,0.16565860215053763,0.32717293906810035
DEVELOPMENT,202011,8568,4570,3998,0.5333800186741363,0.0765639589169001,0.1450746965452848
DEVELOPMENT,202012,8746,4709,4037,0.5384175623142008,0.0840384175623142,0.15732906471529842
DEVELOPMENT,202101,8928,4537,4391,0.5081765232974911,0.03875448028673835,0.07560483870967742
DEVELOPMENT,202102,7987,4197,3790,0.5254789032177288,0.057092775760610996,0.10817578565168398
DEVELOPMENT,202103,8850,4740,4110,0.535593220338983,0.061581920903954805,0.11864406779661017
DEVELOPMENT,202104,8434,4244,4190,0.5032013279582642,0.0792032250414987,0.15496798672041737
DEVELOPMENT,202105,8928,4362,4566,0.4885752688172043,0.04491487455197132,0.09262992831541218
DEVELOPMENT,202106,8640,4363,4277,0.5049768518518518,0.05138888888888889,0.10034722222222223
DEVELOPMENT,202107,8928,4712,4216,0.5277777777777778,0.08568548387096774,0.167002688172043
DEVELOPMENT,202108,8814,4559,4255,0.5172452915815747,0.08112094395280237,0.16190152030859994
DEVELOPMENT,202109,8556,4378,4178,0.5116877045348294,0.0802945301542777,0.16187470780738664
DEVELOPMENT,202110,8928,4485,4443,0.5023521505376344,0.0841173835125448,0.1676747311827957
DEVELOPMENT,202111,8640,4147,4493,0.47997685185185185,0.08761574074074074,0.16828703703703704
DEVELOPMENT,202112,8928,4262,4666,0.47737455197132617,0.07818100358422939,0.15681003584229392
DEVELOPMENT,202201,8928,4388,4540,0.4914874551971326,0.07941308243727599,0.15714605734767026
DEVELOPMENT,202202,8064,4143,3921,0.5137648809523809,0.08519345238095238,0.1675347222222222
DEVELOPMENT,202203,8928,4610,4318,0.516353046594982,0.09901433691756273,0.19724462365591397
DEVELOPMENT,202204,8640,4356,4284,0.5041666666666667,0.11863425925925926,0.2309027777777778
DEVELOPMENT,202205,8928,4363,4565,0.4886872759856631,0.08277329749103943,0.16106630824372759
DEVELOPMENT,202206,8640,4112,4528,0.4759259259259259,0.07256944444444445,0.146875
DEVELOPMENT,202207,8928,4539,4389,0.5084005376344086,0.0769489247311828,0.15221774193548387
DEVELOPMENT,202208,8928,4425,4503,0.4956317204301075,0.10562275985663082,0.21628584229390682
DEVELOPMENT,202209,8640,4378,4262,0.506712962962963,0.10034722222222223,0.20173611111111112
DEVELOPMENT,202210,8928,4448,4480,0.4982078853046595,0.17237903225806453,0.3347894265232975
DEVELOPMENT,202211,8640,4268,4372,0.49398148148148147,0.15034722222222222,0.28043981481481484
DEVELOPMENT,202212,8928,4461,4467,0.49966397849462363,0.2831541218637993,0.5088485663082437
DEVELOPMENT,202301,8928,4821,4107,0.539986559139785,0.19847670250896057,0.3772401433691756
DEVELOPMENT,202302,8064,4015,4049,0.49789186507936506,0.15786210317460317,0.30493551587301587
DEVELOPMENT,202303,8852,4478,4374,0.5058743786714867,0.13172164482602802,0.2536150022593764
DEVELOPMENT,202304,8640,4232,4408,0.4898148148148148,0.16400462962962964,0.315625
DEVELOPMENT,202305,8928,4441,4487,0.497423835125448,0.17753136200716846,0.3419578853046595
DEVELOPMENT,202306,8640,4457,4183,0.5158564814814814,0.16493055555555555,0.3145833333333333
DEVELOPMENT,202307,8928,4435,4493,0.49675179211469533,0.2541442652329749,0.4592293906810036
DEVELOPMENT,202308,8928,4307,4621,0.48241487455197135,0.27352150537634407,0.4838709677419355
DEVELOPMENT,202309,8640,4341,4299,0.5024305555555556,0.24895833333333334,0.45057870370370373
