final_split_role,period_utc,sample_count,up_count,down_count,up_ratio,boundary_risk_5bps_ratio,boundary_risk_10bps_ratio
DEVELOPMENT,2017,26252,14236,12016,0.5422824927624562,0.0524531464269389,0.10086850525674235
DEVELOPMENT,2018,103786,52470,51316,0.5055595166978205,0.10109263291773457,0.1961439885919103
DEVELOPMENT,2019,104393,53462,50931,0.5121224603182206,0.12890711063002308,0.24974854635847232
DEVELOPMENT,2020,104675,54184,50491,0.5176403152615238,0.12320993551468833,0.23912108908526392
DEVELOPMENT,2021,104561,52986,51575,0.5067472575816987,0.06917493137976875,0.13622670020370883
DEVELOPMENT,2022,105120,52491,52629,0.4993436073059361,0.1192351598173516,0.23026065449010655
DEVELOPMENT,2023,105044,53278,51766,0.5071969841209398,0.18657895738928448,0.3504055443433228
DEVELOPMENT,2024,105396,53798,51598,0.5104368287221527,0.12249990511973889,0.23923109036396067
FINAL_TEST,2025,105120,53099,52021,0.5051274733637747,0.14833523592085235,0.28622526636225265
FINAL_TEST,2026,54421,26965,27456,0.4954888737803421,0.13577479281894858,0.26318884254240094
PURGED_BEFORE_FINAL_TEST,2024,12,10,2,0.8333333333333334,0.16666666666666666,0.3333333333333333
