feature_name,mean_gain,std_gain,mean_normalized_gain,mean_rank,median_rank,used_fold_count,top10_fold_count
ema_distance_120,426.7898864746094,177.7215096795154,0.42347389755474946,1.0,1.0,5,5
ema_spread_20_60,415.01524353027344,285.0415902767181,0.10062919121109726,2.4,2.0,5,5
log_return_120m,88.86068496704101,34.35603080483331,0.09202147006089575,2.6,3.0,5,5
time_sin,53.58310394287109,16.452525070622784,0.04983607766479889,4.2,4.0,5,5
normalized_slope_60m,73.84353179931641,8.066538561117653,0.030129854213738448,9.2,8.0,5,4
time_cos,41.353684997558595,10.862306954816537,0.029122805419833676,6.8,6.0,5,5
buy_pressure_std_15m,42.00082092285156,9.288986708382943,0.027335257587572836,9.0,7.0,5,3
range_position_120m,75.74130477905274,23.67652958549538,0.02083433940855501,8.4,9.0,5,4
realized_volatility_120m,45.02856864929199,9.035272489143454,0.020151567818817436,9.6,8.0,5,3
momentum_acceleration_15_60,58.95083923339844,19.81568050963866,0.016715905995443675,10.8,10.0,5,3
realized_volatility_60m,42.26007614135742,6.84867854566282,0.016124062311922364,12.2,12.0,5,1
ema_distance_60,129.52323989868165,70.18389328068754,0.015996716966485056,13.8,10.0,5,3
ema_distance_20,59.823133850097655,14.20237514012156,0.01252852283921026,15.2,15.0,5,1
ema_spread_5_20,62.30426445007324,27.78427736464885,0.011979841753451542,14.8,16.0,5,1
efficiency_ratio_60m,36.919182205200194,9.22847397824413,0.010991588661878977,16.4,14.0,5,0
volume_ratio_15_60,35.92116355895996,9.909997538685477,0.010253150507205907,16.4,15.0,5,0
weekday_sin,34.43941688537598,13.14485899818047,0.009346536598374488,17.0,19.0,5,1
normalized_atr_60,32.97840957641601,6.330368093863071,0.009062940451505696,16.0,17.0,5,0
upper_wick_mean_15m,26.828723526000978,16.057174411772213,0.00874140042822973,23.6,18.0,4,0
taker_buy_quote_ratio_60m,31.43462142944336,14.442727624373655,0.007581687866259804,20.8,18.0,5,0
log_return_60m,205.2207458496094,289.39391448554994,0.007327141939933781,21.4,24.0,5,1
log_return_10m,50.12095718383789,17.918523245419966,0.00617214305903394,22.4,19.0,5,0
support_distance_60m,33.48918418884277,8.84779046331509,0.006029861903838697,21.4,22.0,5,0
vwap_distance_60m,35.95631141662598,7.101429104204731,0.006026064951960733,21.6,23.0,5,0
realized_volatility_30m,37.368374252319335,14.19983108382905,0.004156951899352679,25.0,26.0,5,0
resistance_distance_60m,31.059613037109376,10.73994645439444,0.0037259631349541794,26.2,27.0,5,0
momentum_acceleration_5_30,42.228142166137694,14.120846504313048,0.0031678578691925383,29.8,31.0,5,0
log_return_30m,26.464408111572265,5.2449355334389,0.0031141313410325247,31.8,33.0,5,0
