comparison_type,fold_name,subset_name,model_name,reference_model_name,candidate_roc_auc,reference_roc_auc,delta_roc_auc,candidate_average_precision,reference_average_precision,delta_average_precision,candidate_log_loss,reference_log_loss,delta_log_loss,candidate_brier_score,reference_brier_score,delta_brier,candidate_accuracy,reference_accuracy,delta_accuracy,candidate_mcc,reference_mcc,delta_mcc,sample_count,delta_direction_note
vs_candidate1_reference,fold_2020,DENSE,xgb_depth3_v1,xgb_fixed_v1_reference,0.5640477496172579,0.564555399479249,-0.000507649861991144,0.5757604285413412,0.5766534721055995,-0.0008930435642582335,0.6871969642169021,0.6868616047389247,0.00033535947797747045,0.2470348398507476,0.24687283523069423,0.00016200462005336314,0.5452738790212396,0.546468188376026,-0.0011943093547863715,0.08855025482499797,0.09096843867809003,-0.0024181838530920596,104663,Positive ROC-AUC/AP/Accuracy/MCC favors candidate; negative LogLoss/Brier favors candidate.
vs_candidate1_reference,fold_2020,NONOVERLAP_OFFSET_00,xgb_depth3_v1,xgb_fixed_v1_reference,0.5844619011908248,0.5845442404147347,-8.233922390998849e-05,0.592522725117506,0.5918006808747902,0.0007220442427158247,0.6818560300704469,0.6818370540721608,1.8975998286152596e-05,0.2444067878938213,0.2443963182822179,1.0469611603419748e-05,0.5625501662653365,0.559568856782479,0.0029813094828574638,0.12328496438186952,0.11728110080904854,0.006003863572820983,8721,Positive ROC-AUC/AP/Accuracy/MCC favors candidate; negative LogLoss/Brier favors candidate.
vs_candidate1_reference,fold_2020,OFFSET_00,xgb_depth3_v1,xgb_fixed_v1_reference,0.5844619011908248,0.5845442404147347,-8.233922390998849e-05,0.592522725117506,0.5918006808747902,0.0007220442427158247,0.6818560300704469,0.6818370540721608,1.8975998286152596e-05,0.2444067878938213,0.2443963182822179,1.0469611603419748e-05,0.5625501662653365,0.559568856782479,0.0029813094828574638,0.12328496438186952,0.11728110080904854,0.006003863572820983,8721,Positive ROC-AUC/AP/Accuracy/MCC favors candidate; negative LogLoss/Brier favors candidate.
vs_candidate1_reference,fold_2020,OFFSET_05,xgb_depth3_v1,xgb_fixed_v1_reference,0.574140915071327,0.5735792243229493,0.0005616907483777522,0.5835722840498422,0.5842195897562495,-0.000647305706407364,0.6842859093852663,0.6842886606785953,-2.7512933289397523e-06,0.24561925027029027,0.24562007562386562,-8.253535753455221e-07,0.5475289531017086,0.5479876160990712,-0.0004586629973626355,0.09344774787256335,0.0943197238701013,-0.0008719759975379521,8721,Positive ROC-AUC/AP/Accuracy/MCC favors candidate; negative LogLoss/Brier favors candidate.
vs_candidate1_reference,fold_2020,OFFSET_10,xgb_depth3_v1,xgb_fixed_v1_reference,0.5682774210995547,0.5695984047521713,-0.0013209836526165697,0.5749071565815052,0.576483975387335,-0.0015768188058298271,0.6860102210446167,0.6855338090313833,0.0004764120132334515,0.24644947452519664,0.24621614812623127,0.00023332639896536667,0.5482169475977525,0.5503955968352253,-0.002178649237472796,0.09444229195368405,0.09898433439220072,-0.0045420424385166774,8721,Positive ROC-AUC/AP/Accuracy/MCC favors candidate; negative LogLoss/Brier favors candidate.
vs_candidate1_reference,fold_2020,OFFSET_15,xgb_depth3_v1,xgb_fixed_v1_reference,0.572052350687881,0.5726883002037756,-0.0006359495158946293,0.5846799032332343,0.5860062261402683,-0.0013263229070340499,0.6849110453850807,0.6845936473059658,0.0003173980791149056,0.24591835207752935,0.24576255858756726,0.00015579348996208608,0.5490196078431373,0.5507395940832474,-0.0017199862401100496,0.09596798377677793,0.09933658127716104,-0.003368597500383111,8721,Positive ROC-AUC/AP/Accuracy/MCC favors candidate; negative LogLoss/Brier favors candidate.
vs_candidate1_reference,fold_2020,OFFSET_20,xgb_depth3_v1,xgb_fixed_v1_reference,0.5605267137641238,0.5615877502348814,-0.0010610364707576148,0.5756225447062673,0.5775804211987222,-0.0019578764924549352,0.6880740709788631,0.6875296588772233,0.0005444121016398018,0.24746400531018797,0.24720040982707828,0.0002635954831096965,0.5476436188510492,0.5470702901043458,0.0005733287467033499,0.09290556801257613,0.09164208458464332,0.00126348342793281,8721,Positive ROC-AUC/AP/Accuracy/MCC favors candidate; negative LogLoss/Brier favors candidate.
vs_candidate1_reference,fold_2020,OFFSET_25,xgb_depth3_v1,xgb_fixed_v1_reference,0.5559331438215922,0.5573879458821531,-0.0014548020605609224,0.5657126477126572,0.5686012993021934,-0.0028886515895362175,0.6894356810623178,0.6888253486682901,0.0006103323940276351,0.24813219127931352,0.24783432860750532,0.00029786267180820225,0.5400229357798165,0.5404816513761468,-0.0004587155963302614,0.07800195239522491,0.0790423987255372,-0.0010404463303122918,8720,Positive ROC-AUC/AP/Accuracy/MCC favors candidate; negative LogLoss/Brier favors candidate.
vs_candidate1_reference,fold_2020,OFFSET_30,xgb_depth3_v1,xgb_fixed_v1_reference,0.5583315609706792,0.5593737891779887,-0.0010422282073095923,0.5690813706671206,0.5711611752042189,-0.0020798045370983287,0.6887479374344395,0.6882595235703345,0.0004884138641050306,0.24778727342687493,0.24755202108262553,0.00023525234424939812,0.5409215955983494,0.5429848693259972,-0.0020632737276478075,0.07924970063224984,0.0834704556240284,-0.004220754991778555,8724,Positive ROC-AUC/AP/Accuracy/MCC favors candidate; negative LogLoss/Brier favors candidate.
vs_candidate1_reference,fold_2020,OFFSET_35,xgb_depth3_v1,xgb_fixed_v1_reference,0.5537337375831533,0.55383966709342,-0.00010592951026677788,0.5680164021364714,0.5677602419268846,0.00025616020958685315,0.6899860151400593,0.6896833793440057,0.00030263579605360746,0.24839946032828464,0.2482554010683434,0.00014405925994123714,0.5372535534158643,0.5413801008711601,-0.004126547455295726,0.07249182608914971,0.08078000705180555,-0.008288180962655836,8724,Positive ROC-AUC/AP/Accuracy/MCC favors candidate; negative LogLoss/Brier favors candidate.
vs_candidate1_reference,fold_2020,OFFSET_40,xgb_depth3_v1,xgb_fixed_v1_reference,0.557172134060155,0.556547316664868,0.0006248173952869696,0.5739415145605422,0.572887025156278,0.001054489404264225,0.688818758041694,0.6887246294090735,9.412863262048266e-05,0.2478360428092136,0.24779537774172877,4.066506748481857e-05,0.5362833887424051,0.538232259543735,-0.0019488708013298828,0.0704420458294181,0.07438780756911732,-0.0039457617396992245,8723,Positive ROC-AUC/AP/Accuracy/MCC favors candidate; negative LogLoss/Brier favors candidate.
vs_candidate1_reference,fold_2020,OFFSET_45,xgb_depth3_v1,xgb_fixed_v1_reference,0.555009392920756,0.5547321342249796,0.0002772586957764389,0.5698780667771425,0.5703951818987905,-0.0005171151216479819,0.6895926571531917,0.6893879934052219,0.00020466374796979103,0.24822737907580664,0.24813067445550036,9.670462030628157e-05,0.5351369941533876,0.538232259543735,-0.0030952653903474348,0.06888952660143377,0.07513547212358765,-0.0062459455221538784,8723,Positive ROC-AUC/AP/Accuracy/MCC favors candidate; negative LogLoss/Brier favors candidate.
