model_name,candidate_name,fold_name,feature_index,feature_name,gain,total_gain,weight,cover,total_cover,normalized_gain,importance_rank
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,1,log_return_1m,10.97607421875,43.904296875,4.0,346.1636047363281,1384.6544189453125,0.0004411731702698513,55
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,2,log_return_3m,17.0052547454834,204.06304931640625,12.0,10446.0458984375,125352.546875,0.0020505314698050716,45
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,3,log_return_5m,20.73234748840332,228.05581665039062,11.0,18923.814453125,208161.96875,0.0022916232531085892,41
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,4,log_return_10m,23.608123779296875,495.7705993652344,21.0,14241.4375,299070.1875,0.004981760388311531,27
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,5,log_return_15m,17.104642868041992,222.3603515625,13.0,10602.88671875,137837.53125,0.0022343922627993756,43
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,6,log_return_30m,25.372407913208008,938.7791137695312,37.0,10627.150390625,393204.5625,0.009433339952670077,21
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,7,log_return_60m,26.697113037109375,507.2451477050781,19.0,6500.451171875,123508.5703125,0.005097062607657313,26
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,8,log_return_120m,55.07685470581055,10023.9873046875,182.0,16237.3974609375,2955206.25,0.10072622892799091,3
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,9,momentum_acceleration_5_30,26.950300216674805,431.2048034667969,16.0,9181.041015625,146896.65625,0.0043329697483291026,31
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,10,momentum_acceleration_15_60,36.88544845581055,2360.668701171875,64.0,9343.771484375,598001.375,0.023721224777109206,9
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,11,efficiency_ratio_15m,14.79102611541748,147.91026306152344,10.0,6331.2998046875,63313.0,0.0014862791187861377,47
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,12,efficiency_ratio_60m,27.12299156188965,1790.117431640625,66.0,10630.9072265625,701639.875,0.01798802938857493,13
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,13,up_candle_ratio_15m,18.10765266418457,126.75357055664062,7.0,4793.8232421875,33556.76171875,0.0012736856878657488,49
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,14,realized_volatility_5m,11.476909637451172,34.430728912353516,3.0,2104.662109375,6313.986328125,0.00034597784067040316,58
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,15,realized_volatility_15m,35.8513069152832,215.1078338623047,6.0,6409.396484375,38456.37890625,0.0021615151994143723,44
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,16,realized_volatility_30m,23.891807556152344,477.8361511230469,20.0,5392.94189453125,107858.8359375,0.00480154574074359,28
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,17,realized_volatility_60m,36.91120147705078,2842.16259765625,77.0,8798.314453125,677470.1875,0.028559525442358052,6
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,18,realized_volatility_120m,30.533418655395508,2564.80712890625,84.0,10401.1201171875,873694.0625,0.025772513688394776,8
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,19,volatility_ratio_5_60,18.323101043701172,146.58480834960938,8.0,5427.5283203125,43420.2265625,0.001472960261659941,48
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,20,volatility_ratio_15_120,20.934696197509766,648.9755859375,31.0,5236.85400390625,162342.46875,0.006521243637973218,25
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,21,normalized_atr_14,22.239561080932617,400.3121032714844,18.0,5391.728515625,97051.109375,0.004022543857164843,33
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,22,normalized_atr_60,26.096370697021484,1069.951171875,41.0,12959.4970703125,531339.375,0.01075142489752118,17
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,23,semivariance_imbalance_60m,24.943571090698242,947.855712890625,38.0,16805.123046875,638594.6875,0.009524546333241945,20
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,24,ema_distance_5,21.71839141845703,282.3390808105469,13.0,10662.734375,138615.546875,0.0028370896754570723,39
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,25,ema_distance_20,41.91455078125,1047.86376953125,25.0,7869.521484375,196738.03125,0.010529479210911935,18
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,26,ema_distance_60,46.606441497802734,745.7030639648438,16.0,10262.15625,164194.5,0.00749321155844867,24
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,27,ema_distance_120,250.10662841796875,27011.515625,108.0,27304.421875,2948877.5,0.27142573347668203,1
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,28,ema_spread_5_20,30.533098220825195,1129.724609375,37.0,9729.8388671875,360004.03125,0.011352059432106282,16
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,29,ema_spread_20_60,204.49147033691406,13496.4375,66.0,21160.22265625,1396574.75,0.13561921139920102,2
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,30,normalized_slope_15m,22.601547241210938,429.42938232421875,19.0,9923.37890625,188544.203125,0.004315129394883393,32
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,31,normalized_slope_60m,75.72774505615234,6739.76904296875,89.0,24383.591796875,2170139.75,0.06772469865623204,4
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,32,range_position_30m,20.815933227539062,395.5027160644531,19.0,4065.2421875,77239.6015625,0.003974216637457347,34
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,33,range_position_60m,21.185815811157227,296.6014099121094,14.0,10141.560546875,141981.84375,0.002980404963322465,37
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,34,range_position_120m,50.42688751220703,2622.1982421875,52.0,12717.3291015625,661301.125,0.02634920939231852,7
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,35,support_distance_60m,22.26896858215332,913.0277099609375,41.0,9381.9423828125,384659.625,0.00917457647697926,22
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,36,resistance_distance_60m,22.402957916259766,448.05914306640625,20.0,6031.38037109375,120627.609375,0.0045023309034601024,30
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,37,vwap_distance_60m,31.816652297973633,827.2329711914062,26.0,7734.5634765625,201098.65625,0.008312466396884103,23
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,38,signed_body_ratio,25.281455993652344,25.281455993652344,1.0,1325.1170654296875,1325.1170654296875,0.00025404119604767813,59
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,39,absolute_body_ratio,9.344611167907715,9.344611167907715,1.0,458.8490295410156,458.8490295410156,9.389950477107839e-05,61
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,40,upper_wick_ratio,20.433393478393555,224.76731872558594,11.0,18025.634765625,198281.984375,0.002258578718560126,42
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,41,lower_wick_ratio,15.935012817382812,47.80503845214844,3.0,18145.345703125,54436.0390625,0.00048036984691618456,54
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,42,close_location,24.35771942138672,462.7966613769531,19.0,20683.193359375,392980.6875,0.004650421139217328,29
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,43,signed_body_mean_5m,11.977846145629883,23.955692291259766,2.0,1133.1680908203125,2266.336181640625,0.00024071923402472456,60
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,44,upper_wick_mean_15m,29.206825256347656,1840.030029296875,63.0,18574.5234375,1170195.0,0.018489577084626292,12
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,45,lower_wick_mean_15m,19.229963302612305,288.449462890625,15.0,7467.68115234375,112015.21875,0.00289848996713019,38
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,46,is_zero_volume_1m,0.0,0.0,0.0,0.0,0.0,0.0,62
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,47,log_quote_volume_zscore_60m,8.809470176696777,52.8568229675293,6.0,1107.3643798828125,6644.1865234375,0.000531132800631537,53
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,48,volume_ratio_5_60,19.99786376953125,299.96795654296875,15.0,6386.8603515625,95802.90625,0.003014233771792536,36
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,49,volume_ratio_15_60,24.53439712524414,1275.7886962890625,52.0,5439.59423828125,282858.90625,0.012819787214421393,15
